"מספר בספר החינוך","תת-מספר","שם","קבוצה","סוג (עשה/לא תעשה)","החייבים במצוה","תדירות","רצון","ארוע","עצם או אדם","זמן החיוב","מקום החיוב","העונש למפר במזיד","העונש למפר בשוגג","המקור ביד החזקה - הלכות","המקור ביד החזקה - מספר המצוה","הערות","טעמי המצוה"
324,0,"מצוות נטילת לולב","לולב",1,"גבר מישראל","זמן",,"חג סוכות",,"בכל זמן","בכל מקום","אין","אין","לולב","169",,"האדם נפעל כפי פעולותיו שיעשה תמיד, הקב""ה רצה לזכות את ישראל לכן הרבה להם מצוות להיות נפשם מתפעלת בהן לטובה כל היום."
325,0,"מצוות ישיבה בסוכה","ישיבה בסוכה",1,"גבר מישראל","זמן",,"חג סוכות",,"בכל זמן","בכל מקום","אין","אין","סוכה","168",,"למען נזכור הניסים הגדולים שעשה האל לאבותינו במדבר בצאתם ממצרים."
326,0,"לא נעבוד האדמה בשנה השביעית","שביתת אדמות בשביעית",0,"אדם מישראל","זמן","זריעה","7 שנים","אדמה חקלאית","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","מלקות","אין","שמיטה ויובל","220",,"כדי לקבוע בליבנו שה' ברא עולם בשישה ימים ונח בשביעי . וכן לקנות מידת הוותרנות של נתינה בלי תמורה וכן מידת הביטחון של הפקרת השדה    לשנה שלמה"
327,0,"לא נעשה עבודה בשנה השביעית גם באילנות","שביתת אדמות בשביעית",0,"אדם מישראל","זמן","זריעה","7 שנים","אדמה חקלאית","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","מלקות","אין","שמיטה ויובל","221",,"כדי לקבוע בליבנו שה' ברא עולם בשישה ימים ונח בשביעי . וכן לקנות מידת הוותרנות של נתינה בלי תמורה, וכן מידת הביטחון של הפקרת השדה    לשנה שלמה."
328,0,"לא נקצור ספיחים בשנה השביעית","שמיטת היבול בשביעית",0,"אדם מישראל","זמן","קצירה","7 שנים","אדמה חקלאית","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","מלקות","אין","שמיטה ויובל","222",,"כדי לקבוע בליבנו שה' ברא עולם בשישה ימים ונח בשביעי . וכן לקנות מידת הוותרנות של נתינה בלי תמורה וכן מידת הביטחון של הפקרת השדה    לשנה שלמה"
329,0,"לא נאסוף פירות האילן בשביעית כדרך כל שנה","שמיטת היבול בשביעית",0,"אדם מישראל","זמן","קצירה","7 שנים","אדמה חקלאית","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","מלקות","אין","שמיטה ויובל","223",,"כדי לקבוע בליבנו שה' ברא עולם בשישה ימים ונח בשביעי . וכן לקנות מידת הוותרנות של נתינה בלי תמורה ,וכן מידת"
330,0,"מצוות ספירת שבע שבתות שנים","ספירת 7 שבתות שנים",1,"ציבור","זמן",,"שנה",,"רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","אין","אין","שמיטה ויובל","140",,"רצה ה' להודיע לעמו שהכל שלו,ולבסוף ישוב כל דבר לאשר חפץ הוא ליתנה בתחילה. ע""י מצוה זו של ספירת השנים ימנעו שלא לגזול קרקע חבירם, כי הכל שב לאשר חפץ ה'"
331,0,"מצוות תקיעת שופר ביום הכיפורים של יובל, לשחרור הקרקעות והעבדים","שופר ביובל",1,"ציבור","זמן",,"50 שנה",,"רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","אין","אין","שמיטה ויובל","137",,"קול השופר המעורר יזכיר את ענין שילוח העבד, שהוא קשה לאדון והשופר מזכיר שהדבר שוה לכל הארץ, והכל עושים כן"
332,0,"מצוות קידוש שנת יובל","קידוש היובל",1,"ציבור","זמן",,"50 שנה",,"רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","אין","אין","שמיטה ויובל","136",,"רצה ה' להודיע לעמו שהכל שלו,ולבסוף ישוב כל דבר לאשר חפץ הוא ליתנה"
333,0,"לא נעבוד הארץ בשנת היובל","שביתת אדמות ביובל",0,"אדם מישראל","זמן","זריעה","50 שנה","אדמה חקלאית","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","מלקות","אין","שמיטה ויובל","224",,"רצה ה' להודיע לעמו שהכל שלו,ולבסוף ישוב כל דבר לאשר חפץ הוא ליתנה"
334,0,"לא נקצור ספיחי תבואות של שנת היובל","שמיטת היבול ביובל",0,"אדם מישראל","זמן","קצירה","50 שנה","אדמה חקלאית","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","מלקות","אין","שמיטה ויובל","225",,"רצה ה' להודיע לעמו שהכל שלו,ולבסוף ישוב כל דבר לאשר חפץ הוא ליתנה"
335,0,"לא נאסוף פירות האילנות בשנת היובל כדרך שאוספים אותן בשאר השנים","שמיטת היבול ביובל",0,"אדם מישראל","זמן","קצירה","50 שנה","אדמה חקלאית","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","מלקות","אין","שמיטה ויובל","226",,"רצה ה' להודיע לעמו שהכל שלו,ולבסוף ישוב כל דבר לאשר חפץ הוא ליתנה"
336,0,"מצוות עשיית דין בין לקוח ומוכר","דין מכירה",1,"שופט","רצון","מכירה","דיון משפטי","רכוש הזולת","בכל זמן","בכל מקום","אין","אין","מכירה","245",,"בדין יתקים ישוב העולם"
337,0,"לא להונות במקח וממכר","הטעיית אזרח",0,"אדם מישראל","רצון","עסקים כשרים",,"אדם מישראל","בכל זמן","בכל מקום","אין","אין","מכירה","250",,"אין ראוי לקחת  ממון בני אדם דרך שוחד ותרמית"
338,0,"לא להונות (לצער) אחד מישראל בדברים","ציעור אזרח",0,"אדם מישראל","אדם","הונאת דברים",,"אדם מישראל","בכל זמן","בכל מקום","אין","אין","מכירה","251",,"רצה האל להודיע לעמו שהכל שלו ובסןף ישוב כל דבר לאשר חפץ הוא לתנה בתחילה ,כי לו כל הארץ, וביודעם זאת לא יגזלו קרקע חבררם כי הכל שב למקור"
339,0,"לא למכור שדה בארץ ישראל לצמיתות","מכירת קרקע",0,"אדם מישראל","רצון","מכירה",,"קרקע","רק כשהיובל נוהג","רק בארץ ישראל","מלקות","אין","שמיטה ויובל","227",,"רצה ה' להודיע לעמו שהכל שלו,ולבסוף ישוב כל דבר לאשר חפץ הוא ליתנה"
340,0,"מצוות השבת הקרקע לבעליה ביובל","שחרור קרקעות ביובל",1,"אדם מישראל","זמן","מכירה","50 שנה","קרקע","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","אין","אין","שמיטה ויובל","138",,"רצה ה' להודיע לעמו שהכל שלו,ולבסוף ישוב כל דבר לאשר חפץ הוא ליתנה"
341,0,"מצוות פדיון בתי ערי חומה עד השלמת שנה","בתי ערי חומה",1,"אדם מישראל","רצון","מכירה",,"בית","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","אין","אין","שמיטה ויובל","139",,"רצה ה' להודיע לעמו שהכל שלו,ולבסוף ישוב כל דבר לאשר חפץ הוא ליתנה"
342,0,"לא לשנות ממגרשי הלוויים","מגרשי הלויים",0,"לוי","עצם","מכירה",,"קרקע","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","מלקות","אין","שמיטה ויובל","228",,"רצה ה' להודיע לעמו שהכל שלו,ולבסוף ישוב כל דבר לאשר חפץ הוא ליתנה"
343,0,"לא להלוות בריבית לישראל","הלואה בלי ריבית",0,"אדם מישראל","רצון","הלוואות",,"רכוש הזולת","בכל זמן","בכל מקום","אין","אין","מלוה ולוה","235",,"ה' חפץ בישוב עמו לכן צוה להסיר מכשול לבל יבלע אחד ממון חברו"
344,0,"לא לעבוד בעבד עברי עבודת בזיון המיוחדת לעבדים","העבדת עבד עברי",0,"אדם מישראל","אדם","מלאכה",,"עבד עברי","רק כשהיובל נוהג","בכל מקום","אין","אין","עבדים","257",,"אדם צריך לכבד את עבדו העברי כי הוא שיך לאומה הנכבדת מכולן ולכן יש לכבדו ולא לבזותו.ועוד שילמד האדם את עצמו מידת הרחמים."
345,0,"לא נמכור עבד עברי על אבן המקח","מכירת עבד עברי",0,"אדם מישראל","אדם","מכירה",,"עבד עברי","בכל זמן","בכל מקום","אין","אין","עבדים","258",,"אדם צריך לכבד את עבדו העברי כי הוא שיך לאומה הנכבדת מכולן ולכן יש לכבדו ולא לבזותו.ועוד שילמד האדם את עצמו מידת הרחמים."
346,0,"לא לעבוד בעבד עברי עבודת פרך","העבדת עבד עברי",0,"אדם מישראל","אדם","מלאכה",,"עבד עברי","רק כשהיובל נוהג","בכל מקום","אין","אין","עבדים","259",,"אדם צריך לכבד את עבדו העברי כי הוא שיך לאומה הנכבדת מכולן ולכן יש לכבדו לא לבזותו.ועוד שילמד האדם את עצמו מידת הרחמים."
347,0,"מצוות עבודה בעבד כנעני לעולם","העבדת נכרים",1,"אדם מישראל","אדם","מלאכה",,"עבד נכרי","בכל זמן","בכל מקום","אין","אין","עבדים","235",,"עם ישראל הוא עם נבחר ולכן ראוי שיהיה להם עבדים לשמשם."
348,0,"לא להניח לגוי לעבוד עבודת פרך בעבד עברי הנמכר לו","העבדת עבד עברי",0,"אדם מישראל","אדם","מלאכה",,"עבד עברי","רק כשהיובל נוהג","בכל מקום","אין","אין","עבדים","260",,"השורש נגלה הוא וברור כשמש"
349,0,"לא נשתחווה על אבן משכית אפילו לה'","השתחויה על אבן",0,"אדם מישראל","רצון","השתחויה",,"פסלים","בכל זמן","בכל מקום","מלקות","אין","עבודת כוכבים","12",,"לפי שהיו עושין כן לעבודה זרה. שמים אבנים נאות לפני הצלם ומשתחוים עליהם"
350,0,"מצוות מעריך אדם שיתן דמים הקצובים בתורה","הערכת אדם",1,"אדם מישראל","רצון","הערכה",,"אדם מישראל","בכל זמן","בכל מקום","אין","אין","ערכין","114",,"החלק האלוקי באדם הדיבור. ולכן הוא התחייב לעמוד בדיבורו ולהשתמש בו לדברי שמיים כמו בהקדשות ובדברי צדקות."
351,0,"לא להמיר הקדשים","תמורת קדשים",0,"אדם מישראל","רצון",,,"בהמה שהוקדשה","בכל זמן","בכל מקום","מלקות","אין","תמורה","106",,"רצה הקב""ה להטיל מורא ופחד בלב הבריות בכל עניני הקדש ולכן ציוה הכתוב שלא נשנה דברים וכיון שנתקדשה הבהמה תהיה קדושתה לעולם."
352,0,"מצוות הממיר בהמת קורבן בבהמה אחרת שתהיינה שתיהן קודש","תמורת קדשים",1,"אדם מישראל","רצון",,,"בהמה שהוקדשה","בכל זמן","בכל מקום","אין","אין","תמורה","87",,"רצה הקב""ה להטיל מורא ופחד בלב הבריות בכל עניני הקדש ולכן ציוה הכתוב שלא נשנה דברים וכיון שנתקדשה הבהמה תהיה קדושתה לעולם."
353,0,"מצוות מעריך בהמה שיתן כפי שיעריכנה הכוהן","הערכת בהמה",1,"אדם מישראל","רצון","הערכה",,"חיות","רק כשהמקדש קיים","בירושלים","אין","אין","ערכין","115",,"החלק האלוקי באדם הדיבור. ולכן הוא התחייב לעמוד בדיבורו ולהשתמש בו לדברי שמיים כמו בהקדשות ובדברי צדקות."
354,0,"מצוות מעריך בתים שייתן בערך שיעריכנה הכוהן ותוספת  חומש","הערכת בית",1,"אדם מישראל","רצון","הערכה",,"בית","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","אין","אין","ערכין","116",,"הקב""ה רצה לתת מיראת הקודש בלב הבריות  ולכן ציוה להוסיף חומש על דמי הפדיון כדי שימנעו מלפדות את ההקדש."
355,0,"מצוות מעריך שדה שייתן כערך הקצוב בפרשה","הערכת שדה",1,"אדם מישראל","רצון","הערכה",,"קרקע","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","אין","אין","ערכין","117",,"הקב""ה רצה לתת מיראת הקודש בלב הבריות  ולכן ציוה להוסיף חומש על דמי הפדיון כדי שימנעו מלפדות את ההקדש."
356,0,"לא לשנות הקודשים מקורבן לקורבן","תמורת קדשים",0,"אדם מישראל","רצון",,,"בהמה שהוקדשה","בכל זמן","בכל מקום","אין","אין","תמורה","107",,"רצה הקב""ה להטיל מורא ופחד בלב הבריות בכל עניני הקדש ולכן ציוה הכתוב שלא נשנה דברים וכיון שנתקדשה הבהמה ,תהיה קדושתה לעולם."
357,0,"מצוות דין מחרים מנכסיו שהוא לכוהנים","החרמת רכוש",1,"אדם מישראל","רצון","החרמה",,"רכוש כללי","רק כשהמקדש קיים","בכל מקום","אין","אין","ערכין","145",,"עם ישראל הוא עם נבחר ולכן קללה או חרם היוצא מפינו בעל השפעה לכן אי אפשר להחרים רכוש ולהוציאו לרשות אחרת."
358,0,"לא תימכר קרקע שהחרימו אותה בעלים אלא תינתן לכוהנים","החרמת קרקע",0,"אדם מישראל","רצון","החרמה",,"קרקע","רק כשהמקדש קיים","בכל מקום","אין","אין","ערכין","110",," עם ישראל הוא עם נבחר ולכן קללה או חרם היוצא מפינו בעל השפעה לכן אי אפשר להחרים רכוש ולהוציאו לרשות אחרת."
359,0,"לא יגאל שדה החרם","החרמת קרקע",0,"אדם מישראל","רצון","החרמה",,"קרקע","רק כשהמקדש קיים","בכל מקום","אין","אין","ערכין","111",,"עם ישראל הוא עם נבחר ולכן קללה או חרם היוצא מפינו בעל השפעה לכן אי אפשר להחרים רכוש ולהוציאו לרשות אחרת."
360,0,"מצוות מעשר בהמה טהורה כל שנה","מעשר בהמה",1,"אדם מישראל","עצם",,"שנה","חיות","רק כשהמקדש קיים","בכל מקום","אין","אין","בכורות","78","לפי התורה גם בימינו יש מצות מעשר בהמה חכמים גזרו ששרק כאשר המקדש קים כדי למנוע שחיטת קדשים כחולין","מכיון שהאדם הוא יצור גשמי הנמשך אחר החומר, לכן ציוה אותו הקב""ה לקחת את מעשר הבהמה לירושלים, ששם מקום הסהנדרין ,ובזמן זה ישב בירושלים ויעשק בתורה"
361,0,"לא למכור מעשר בהמה אלא יאכל בירושלים","מעשר בהמה",0,"אדם מישראל","עצם","אכילה","שנה","חיות","בכל זמן","בכל מקום","אין","אין","בכורות","109",,"מכיון שהאדם הוא יצור גשמי הנמשך אחר החומר, לכן ציוה אותו הקב""ה לקחת את מעשר הבהמה לירושלים, ששם מקום הסהנדרין ובזמן זה ישב בירושלים ויעשק בתורה"
362,0,"מצוות שילוח טמאים חוץ למחנה שכינה","כניסת טמאים למקדש",1,"אדם מישראל","ארוע","כניסה למקדש","טומאת אדם",,"בכל זמן","בכל מקום","אין","אין","ביאת המקדש","31",,"ענין הטומאה ידוע כמחליש כח הנפש השכלית, על כן ראוי שבמקום קדוש לא יהיו אנשים טמאים."
363,0,"לא ייכנס טמא בבית המקדש","כניסת טמאים למקדש",0,"אדם מישראל","ארוע","כניסה למקדש","טומאת אדם",,"בכל זמן","בירושלים","כרת","חטאת קבועה","ביאת המקדש","77",,"ענין הטומאה ידוע כמחליש כח הנפש השכלית ,על כן ראוי שבמקום קדוש לא יהיו אנשים טמאים."
364,0,"מצוות וידוי על חטא","תשובה אל ה'",1,"אדם מישראל","ארוע",,"חטא",,"בכל זמן","בכל מקום","אין","אין","תשובה","73",,"בהודאת העון בפה תתגלה מחשבת החוטא"
365,0,"מצוות סוטה שיביאנה הבעל אל הכוהן שיעשה לה כמשפט הכתוב","בדיקת סוטה",1,"גבר מישראל","ארוע",,"קנאה","איש ואשה","רק כשהמקדש קיים","בכל מקום","אין","אין","סוטה","223",,"שבח גדול לאומה להוציא מליבנו חשד בנשותינו ומתוך כך תגדל האהבה בין איש לאשתו וזרענו יהיה קדוש"
366,0,"לא ליתן שמן בקורבן סוטה","קרבן סוטה",0,"כהן","עצם","הקרבה","קנאה","חטאת","רק כשהמקדש קיים","בירושלים","מלקות","אין","סוטה","104",,"כדי שלא יהיה קרבנה מהודר.השמן שהוא המובחר שבמשקין.  וסוטה שקלקלה מעשיה במעשה מושפל לא ראוי להביא בקרבנה השמן הנכבד, שמושחים בו מלכים"
367,0,"לא לשים לבונה בקורבן סוטה","קרבן סוטה",0,"כהן","עצם","הקרבה","קנאה","חטאת","רק כשהמקדש קיים","בירושלים","מלקות","אין","סוטה","105",,"הלבונה משבחת את הקרבן ולכן אין ראוי שסוטה שעשתה מעשה בזוי תוסיף את הלבונה לקרבנה"
368,0,"לא ישתה הנזיר יין או כל מיני שיכר","התנזרות מיין",0,"נזיר","רצון","אכילה",,"פרי הגפן","בכל זמן","בכל מקום","מלקות","אין","נזירות","202",,"היין יוצר כח רע המגדיל את היצר, לכן מתחייב על כל אחד מהצורות, יין,ענבים,צימוקים,חרצן וזג"
369,0,"לא יאכל הנזיר ענבים לחים","התנזרות מיין",0,"נזיר","רצון","אכילה",,"פרי הגפן","בכל זמן","בכל מקום","מלקות","אין","נזירות","203",,"מתחייב על כל אחד מהצורות, יין,ענבים,צימוקים,חרצן וזג"
370,0,"לא יאכל הנזיר צימוקים","התנזרות מיין",0,"נזיר","רצון","אכילה",,"פרי הגפן","בכל זמן","בכל מקום","מלקות","אין","נזירות","204",,"מתחייב על כל אחד מהצורות, יין,ענבים,צימוקים,חרצן וזג"
371,0,"לא יאכל הנזיר גרעיני הענבים","התנזרות מיין",0,"נזיר","רצון","אכילה",,"פרי הגפן","בכל זמן","בכל מקום","מלקות","אין","נזירות","205",,"מתחייב על כל אחד מהצורות, יין,ענבים,צימוקים,חרצן וזג"
372,0,"לא יאכל הנזיר קליפת הענבים","התנזרות מיין",0,"נזיר","רצון","אכילה",,"פרי הגפן","בכל זמן","בכל מקום","מלקות","אין","נזירות","206",,"מתחייב על כל אחד מהצורות, יין,ענבים,צימוקים,חרצן וזג"
373,0,"לא יגלח הנזיר שערו","התנזרות מגילוח",0,"נזיר","רצון","נדר",,"שער","בכל זמן","בכל מקום","מלקות","אין","נזירות","209",,"הנזיר מוסיף  על מצוות ה' כדי להגיע להכרעת היצר וגידול השער מכריע את יצר הנזיר"
374,0,"מצוות גידול שער בנזיר","התנזרות מגילוח",1,"נזיר","רצון","נדר",,"שער","בכל זמן","בכל מקום","מלקות","אין","נזירות","92",,"הנזיר מוסיף  על מצוות ה' כדי להגיע להכרעת היצר וגידול השער מכריע את יצר הנזיר"
375,0,"לא ייכנס הנזיר לאוהל המת","התנזרות מטומאה",0,"נזיר","רצון","נדר","מוות אדם","אדם מת","בכל זמן","בכל מקום","מלקות","אין","נזירות","208",,"הרחקת איש טהור,נזיר, ממקום טומאה"
376,0,"לא יטמא הנזיר במת ובשאר טומאות","התנזרות מטומאה",0,"נזיר","רצון","נדר","מוות אדם","אדם מת","בכל זמן","בכל מקום","מלקות","אין","נזירות","207",,"הנזיר שקיבל על עצמו פרישות מחיי הטומאה, לכן מנעה ממנו התורה להתעסק בטומאות העולם הזה יותר מכהן רגיל, מרוב מעלתו הגדולה של הנזיר"
377,0,"מצוות גילוח הנזיר והבאת קורבנותיו","קרבן הנזיר",1,"נזיר","רצון","נדר",,"שער","רק כשהמקדש קיים","בירושלים","אין","אין","נזירות","93",,"הנזיר חיב בקרבן מפני שהוסיף לעצמו מצוות יותר ממה שחייבה התורה.  סיבה אחרת: צריך כפרה על שהוא חוזר להטמא בתאוות העולם"
378,0,"מצוות ברכת כוהנים בכל יום","ברכת כהנים",1,"כהן","זמן",,"יום",,"בכל זמן","בכל מקום","אין","אין","תפלה","26",,"הקב""ה ציונו לבקש ממנו את הברכה ע""י משרתיו הטהורים ומתוך כך נזכה לטוב."
379,0,"מצוות משא הארון בכתף","ארון הקודש",1,"לוי","עצם",,,"כלי קודש","רק כשהמקדש קיים","בכל מקום","אין","אין","כלי המקדש","34",,"כל עיקר כבודו של ישראל היא התורה לע כן ראוי שישאו אותה האנשים המכובדים והקדושים שבישראל."
380,0,"מצוות פסח שני ב-י""ד באייר","עשיית פסח שני",1,"גבר מישראל","זמן",,"פסח שני",,"רק כשהמקדש קיים","בירושלים","כרת","כרת","קרבן פסח","57","נשים חוגגות מדין רשות","מצות הפסח היא אות  לחידוש העולם שבאותה עת עשה ה' עמנו ניסים גדולים, לכן רצה ה' לזכות במצות הפסח כל איש ישראל  ומי שהיה אנוס בפסח ראשון חוגג בחודש השני"
381,0,"מצוות פסח שני שיאכל על מצות ומרורים","אכילת הפסח השני",1,"גבר מישראל","זמן",,"פסח שני","בשר קודש","רק כשהמקדש קיים","בירושלים","אין","אין","קרבן פסח","58",,"מצות הפסח היא אות  לחידוש העולם שבאותה עת עשה ה' עמנו ניסים גדולים, לכן רצה ה' לזכות במצות הפסח כל איש ישראל  ומי שהיה אנוס בפסח ראשון חוגג בחודש השני"
382,0,"לא להותיר כלום מבשר הפסח השני למחרתו","בשר הפסח השני",0,"גבר מישראל","זמן",,"פסח שני","בשר קודש","רק כשהמקדש קיים","בירושלים","אין","אין","קרבן פסח","119",,"מצות הפסח היא אות  לחידוש העולם שבאותה עת עשה ה' עמנו ניסים גדולים, לכן רצה ה' לזכות במצות הפסח כל איש ישראל  ומי שהיה אנוס בפסח ראשון חוגג בחודש השני"
383,0,"לא לשבור עצם מעצמות פסח שני","בשר הפסח השני",0,"גבר מישראל","זמן",,"פסח שני","בשר קודש","רק כשהמקדש קיים","בירושלים","אין","אין","קרבן פסח","121",,"מצות הפסח היא אות  לחידוש העולם שבאותה עת עשה ה' עמנו ניסים גדולים, לכן רצה ה' לזכות במצות הפסח כל איש ישראל  ומי שהיה אנוס בפסח ראשון חוגג בחודש השני"
384,1,"מצוות תקיעת חצוצרות במקדש (בזמן ההקרבה)","חצוצרות במקדש",1,"כהן","זמן","הקרבה",,,"רק כשהמקדש קיים","בירושלים","אין","אין","כלי המקדש","59",,"תקיעת החצוצרה עוזרת לכונת הלב בשעת הקרבת קרבן."
384,2,"מצוות תקיעת חצוצרות במלחמה ובכל צרה","חצוצרות במלחמה",1,"ציבור","ארוע",,"מלחמה",,"רק כשהמקדש קיים","בירושלים","אין","אין","תעניות","59",,"מדרכי התשובה [רמב""ם]"
385,0,"מצוות הפרשת חלה","הפרשת חלה",1,"אדם מישראל","רצון","אכילה",,"לחם","רק כשהמקדש קיים","רק בארץ ישראל","אין","אין","ביכורים","133",,"לפי שהחלה היא רוב מזונו של האדם רצה האל לזכות אותנו במצוה תמידית בלחמינו כדי שתתברך נפשינו."
386,0,"מצוות ציצית","ציצית",1,"גבר מישראל","רצון","לבישה",,"בגד","בכל זמן","בכל מקום","אין","אין","ציצית","14",,"למען נזכור מצוות ה' תמיד ואן דרך טובה יותר לזיכרון כמו הנושא חותם אדוניו על בגדו  בכיסוי אשר יכסה בו תמיד"
387,0,"לא לתור אחר מחשבת הלב וראיית העיניים","הלב והעיניים",0,"אדם מישראל","רגע","מחשבה",,,"בכל זמן","בכל מקום","אין","אין","עבודת כוכבים","47",,"בזה ישמר האדם מחטוא לה' כל ימיו."
388,0,"מצוות שמירת המקדש","שמירת המקדש",1,"לוי","עצם",,,"מקדש","רק כשהמקדש קיים","בירושלים","אין","אין","בית הבחירה","22","גם הלויים שותפים למצוה זו","ע""י כיבוד בית המקדש מתגברת תחושת היראה והמורא מהבית הקדוש."
389,1,"לא יתעסקו הכוהנים בעבודת הלוויים","כהנים בעבודת הלויים",0,"כהן","רצון","עבודה במקדש",,,"רק כשהמקדש קיים","בירושלים","מיתה בידי שמים","חטאת קבועה","כלי המקדש","72","כהן שעשה מלאכת לוי לא חיב מיתה","עבודת הכהנים והלויים עבודה יקרה ומקודשת ולכן יש להזהר מהעצלות והשכחה לכן המלאכה מוטלת על האחד לבדו כי מלאכה הנסמכת על שניים הפשיעה מצויה יותר."
389,2,"לא יתעסקו הלויים בעבודת הכוהנים","לויים בעבודת הכהנים",0,"לוי","רצון","עבודה במקדש",,,"רק כשהמקדש קיים","בירושלים","מיתה בידי שמים","חטאת קבועה","כלי המקדש","72","כהן שעשה מלאכת לוי לא חיב מיתה","עבודת הכהנים והלויים עבודה יקרה ומקודשת ולכן יש להזהר מהעצלות והשכחה לכן המלאכה מוטלת על האחד לבדו כי מלאכה הנסמכת על שניים הפשיעה מצויה יותר."
390,0,"לא יעבוד זר במקדש","עבודת זרים במקדש",0,"אדם מישראל","רצון","עבודה במקדש",,,"בכל זמן","בירושלים","מיתה בידי שמים","חטאת קבועה","ביאת המקדש","74","העונש הוא רק עם עבד במקדש קבלת הדם,זריקה,הקטרה,הקרבה,ניסוך.   האיסור להיות במקדש הוא גם בימינו.","כבוד המלך והמקום שיהיו שם אנשים ידועים ,משבט ידוע ולא יכנס זר בינהם לעבודה."
391,0,"לא לבטל שמירת המקדש","שמירת המקדש",0,"לוי","עצם",,,"מקדש","רק כשהמקדש קיים","בירושלים","אין","אין","בית הבחירה","67","גם הלויים שותפים במצוה זו","ע""י כיבוד בית המקדש מתגברת תחושת היראה והמורא מהבית הקדוש."
392,0,"מצוות פדיון בכור אדם","בכור אדם",1,"גבר מישראל","ארוע",,"לידת בכור","ילד","בכל זמן","בכל מקום","אין","אין","ביכורים","80",,"רצה ה' לזכות אותנו לעשות מצוה מראשית פרי בטננו ולהקדישו לה' וכן לזכור הנס הגדול במכת בכורי מצרים"
393,0,"לא לפדות בכור בהמה טהורה","בכור בהמה",0,"גבר מישראל","ארוע",,"לידת בכור","חיות","בכל זמן","בארץ ישראל סוריא ועבר הירדן","אין","אין","בכורות","108",,"רצה ה' לזכות אותנו לעשות מצוה מראשית פרי בטננו ולהקדישו לה' וכן לזכור הנס הגדול במכת בכורי מצרים"
394,0,"מצוות עבודת הלוויים במקדש","עבודת הלויים במקדש",1,"לוי","זמן",,"יום",,"רק כשהמקדש קיים","בירושלים","אין","אין","כלי המקדש","23","לויים בלבד","כבוד המלך והמקום הוא שיהיו שם אנשים ידועים משבט ידוע קבועים לשרתו ולא יכנס זר בינהם"
395,0,"מצוות מעשר ראשון לתת ללוויים","מעשר ראשון",1,"אדם מישראל","עצם",,"שנה","אדמה חקלאית","רק כשהמקדש קיים","רק בארץ ישראל","אין","אין","מעשר","127",,"שבט לוי השבט הנבחר ונצטונו לתת להם מחיתם כיאות למשרתי המלך שתהיה ארוחתם מזומנה"
396,0,"מצוות הלוויים לתת מעשר מן המעשר לכהנים","תרומת מעשר",1,"לוי","עצם",,"שנה","אדמה חקלאית","רק כשהמקדש קיים","רק בארץ ישראל","אין","אין","תרומות","129",,"כל שבט לוי הוא שבט נבחר  ומתוכם נבחרו בני אהרון להיות מקודשים יותר לעמוד ולשרת פני ה' ושאר כל השבט מסייע להם בעבודת הקודש."
397,0,"מצוות פרה אדומה","פרה אדומה",1,"ציבור","ארוע",,"מוות אדם","חיות","רק כשהמקדש קיים","רק בארץ ישראל","אין","אין","פרה אדומה","113",,"טעם המצוה נסתר ולא מובן ויש לקבלה כהלכה למשה מסיני."
398,0,"מצוות טומאה של מת","טומאת המת",1,"אדם מישראל","ארוע",,"מוות אדם","אדם מת","רק כשהמקדש קיים","בכל מקום","אין","אין","טומאת מת","107",,"ה' ציוה להרחיקנו מהמת שהוא אבי אבות הטומאה שהיא דבר נמאס ונאלה."
399,0,"מצוות מי אפר פרה אדומה, שמטמאין אדם טהור ומטהרין אדם טמא מטומאת המת בלבד","פרה אדומה",1,"ציבור","ארוע",,"מוות אדם","חיות","רק כשהמקדש קיים","בירושלים","אין","אין","פרה אדומה","108",,"וחוקת פרה פליאה ונשגבה לא אוכל לה"
400,0,"מצוות דיני נחלות","נחלות",1,"אדם מישראל","עצם",,"מוות אדם","רכוש כללי","בכל זמן","בכל מקום","אין","אין","נחלות","248",,"כדי שהאדם ידע שהוא נתון ביד ה' המשגיח על בריותיו וחילק להם מתנת נחלות ומתנה זו עוברת מאב לבן"
401,0,"מצוות תמידין בכל יום","קרבן תמיד",1,"ציבור","זמן",,"יום",,"רק כשהמקדש קיים","בירושלים","אין","אין","תמידין ומוספים","39",,"כדי נתעורר מתוך מעשה ההקרבה ערב ובקר להדבק בה'"
